[2025-04-27T20:29:19.459Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.221Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.292Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.363Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.435Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.512Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.584Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.657Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.728Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.799Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.869Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:48.940Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.010Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.079Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.149Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.220Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.292Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.364Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.435Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.505Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.575Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.645Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.715Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.785Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.858Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
[2025-04-27T20:29:49.930Z] Chain: מגה בעיר | SKU: 1028 | Name: חצי בגט
